Date,ticker,close,sma_5,sma_20,rsi_14,ret_1d,vol_10,next_close,target
2020-12-09,AAPL,118.66194915771484,119.8701904296875,116.59865531921386,59.70447013569641,-0.0209035776996358,0.014166007887960703,120.0845718383789,1
2020-12-10,AAPL,120.0845718383789,119.9286605834961,116.78135528564454,61.26206242008965,0.011988869985383843,0.014300697133698687,119.27581787109375,0
2020-12-11,AAPL,119.27581787109375,119.95984497070313,116.93725852966308,62.76408954983339,-0.0067348698913100025,0.01487436427187483,118.66194915771484,0
2020-12-14,AAPL,118.66194915771484,119.57593078613282,117.06003265380859,73.22065572083025,-0.005146631767743104,0.014004599242748444,124.60574340820312,1
2020-12-15,AAPL,124.60574340820312,120.2580062866211,117.42932929992676,78.75926825465896,0.050090145094349614,0.018844162766643614,124.53755950927734,0
2020-12-16,AAPL,124.53755950927734,121.4331283569336,117.83955078125,77.63372417732793,-0.0005471970798521797,0.01890392758665108,125.4047622680664,1
2020-12-17,AAPL,125.4047622680664,122.49716644287109,118.35939178466796,77.89728746645187,0.006963383273336676,0.01883581129443574,123.4169921875,0
2020-12-18,AAPL,123.4169921875,123.32540130615234,118.75012474060058,68.23734165570129,-0.01585083408808141,0.019718962329617933,124.94678497314453,1
2020-12-21,AAPL,124.94678497314453,124.58236846923828,119.28068351745605,64.52408852641636,0.012395317358896651,0.01972502790755399,128.50332641601562,1
2020-12-22,AAPL,128.50332641601562,125.36188507080078,120.1591007232666,69.46813216172332,0.02846444943449744,0.021230970506778597,127.60692596435547,0
2020-12-23,AAPL,127.60692596435547,125.9757583618164,120.92838821411132,67.32273274262693,-0.006975698424787513,0.01966370506291309,128.59104919433594,1
2020-12-24,AAPL,128.59104919433594,126.6130157470703,121.70498237609863,70.6180944609867,0.0077121458928910425,0.019600781427691432,133.190185546875,1
2020-12-28,AAPL,133.190185546875,128.56765441894532,122.68424987792969,73.83452118588949,0.03576560251552596,0.020850667712618256,131.41677856445312,0
2020-12-29,AAPL,131.41677856445312,129.86165313720704,123.45499687194824,68.82541933369498,-0.013314847300049282,0.021708341648221625,130.29624938964844,0
2020-12-30,AAPL,130.29624938964844,130.2202377319336,123.99091567993165,72.87268975657884,-0.008526530531678844,0.017284606512154507,129.29263305664062,0
2020-12-31,AAPL,129.29263305664062,130.55737915039063,124.45911407470703,68.57310220675389,-0.007702572696521082,0.017665663780060806,126.09658813476562,0
2021-01-04,AAPL,126.09658813476562,130.05848693847656,124.77433242797852,63.07177293772625,-0.024719466579931737,0.019769644003983643,127.65562438964844,1
2021-01-05,AAPL,127.65562438964844,128.95157470703126,125.20111885070801,66.44778099599283,0.012363825841319231,0.019144655307004654,123.35851287841797,0
2021-01-06,AAPL,123.35851287841797,127.33992156982421,125.33996849060058,48.224307834772866,-0.03366174840925318,0.02209238615642255,127.56794738769531,1
2021-01-07,AAPL,127.56794738769531,126.7942611694336,125.65859756469726,55.43908296218678,0.034123583456507456,0.022987060963045723,128.6690216064453,1
2021-01-08,AAPL,128.6690216064453,126.66953887939454,126.1589511871338,55.736127320747336,0.008631276439713398,0.023027837820354086,125.67759704589844,0
2021-01-11,AAPL,125.67759704589844,126.58574066162109,126.43860244750977,54.13544895822247,-0.023248988165128215,0.024091930004448724,125.50221252441406,0
2021-01-12,AAPL,125.50221252441406,126.15505828857422,126.74992218017579,51.52378654598635,-0.0013955114165679072,0.02015954505610626,127.53868865966797,1
2021-01-13,AAPL,127.53868865966797,126.99109344482422,127.19375915527344,48.99254177904173,0.016226615406144784,0.021070913579584096,125.60936737060547,0
2021-01-14,AAPL,125.60936737060547,126.59937744140625,127.24394035339355,47.34579266491173,-0.015127341431358299,0.021371796494902843,123.88470458984375,0
2021-01-15,AAPL,123.88470458984375,125.64251403808593,127.21129760742187,43.09633856125618,-0.0137303675423599,0.021588934587205344,124.55704498291016,1
2021-01-19,AAPL,124.55704498291016,125.41840362548828,127.16891174316406,35.1844661757966,0.005427146113738512,0.020457751439976548,128.6494903564453,1
2021-01-20,AAPL,128.6494903564453,126.04785919189453,127.43053665161133,46.11255479651109,0.03285599280311002,0.022837407031166355,133.36558532714844,1
2021-01-21,AAPL,133.36558532714844,127.21323852539062,127.85147666931152,55.021367011267806,0.036658481565969625,0.021776913926179885,135.5092315673828,1
2021-01-22,AAPL,135.5092315673828,129.1932113647461,128.20177192687987,59.20293176525944,0.016073458793555817,0.02005487931478363,139.26065063476562,1
